Date,Symbol,Company Name,Type,Split Ratio
18-Feb-25,OTLY,Oatly Group Ab,Reverse,1 for 20
18-Feb-25,MULN,Mullen Automotive Inc,Reverse,1 for 59.99
18-Feb-25,MEGL,Magic Empire Global Ltd.,Reverse,1 for 4
18-Feb-25,FEAM,5e Advanced Materials Inc,Reverse,1 for 23
18-Feb-25,CYN,Cyngn Inc,Reverse,1 for 149.93
18-Feb-25,BOXL,Boxlight Corp,Reverse,1 for 5
13-Feb-25,TANH,Tantech Holdings Ltd.,Reverse,1 for 40
13-Feb-25,HYFM,Hydrofarm Holdings Group Inc,Reverse,1 for 10
11-Feb-25,NIVF,Newgenivf Group Ltd.,Reverse,1 for 20
11-Feb-25,GSAT,Globalstar Inc,Reverse,1 for 15
10-Feb-25,TCBP,Tc Biopharm (holdings) PLC,Reverse,1 for 20
10-Feb-25,RIME,Algorhythm Holdings Inc,Reverse,1 for 200
10-Feb-25,BTAI,Bioxcel Therapeutics Inc,Reverse,1 for 16
07-Feb-25,FTLF,Fitlife Brands Inc,Forward,2 for 1
05-Feb-25,TNXP,Tonix Pharmaceuticals Holding Corp,Reverse,1 for 100
04-Feb-25,GCTK,Glucotrack Inc,Reverse,1 for 20
03-Feb-25,EYEN,Eyenovia Inc,Reverse,1 for 80
31-Jan-25,ZKIN,Zk International Group Co Ltd.,Reverse,1 for 7
31-Jan-25,FCUV,Focus Universal Inc,Reverse,1 for 10
30-Jan-25,CRKN,Crown Electrokinetics Corp,Reverse,1 for 149.93
30-Jan-25,BLRX,Biolinerx Ltd.,Reverse,1 for 40
30-Jan-25,ACON,Aclarion Inc,Reverse,1 for 334.45
29-Jan-25,ENVB,Enveric Biosciences Inc,Reverse,1 for 15
29-Jan-25,BCTX,Briacell Therapeutics Corp,Reverse,1 for 15
28-Jan-25,VINC,Vincerx Pharma Inc,Reverse,1 for 20
28-Jan-25,REVB,Revelation Biosciences Inc,Reverse,1 for 16
28-Jan-25,INKT,Mink Therapeutics Inc,Reverse,1 for 10
27-Jan-25,IVP,Inspire Veterinary Partners Inc,Reverse,1 for 25
27-Jan-25,HAO,Haoxi Health Technology Ltd.,Reverse,1 for 25
27-Jan-25,GITS,Global Interactive Technologies Inc,Reverse,1 for 20
27-Jan-25,CDT,Conduit Pharmaceuticals Inc,Reverse,1 for 100
27-Jan-25,BNGO,Bionano Genomics Inc,Reverse,1 for 59.99
21-Jan-25,BQ,Boqii Holding Ltd.,Reverse,1 for 10
17-Jan-25,OUT,Outfront Media Inc,Reverse,1 for 1.02
16-Jan-25,RLI,Rli Corp,Forward,2 for 1
16-Jan-25,MBIO,Mustang Bio Inc,Reverse,1 for 50
16-Jan-25,ALVR,Allovir Inc,Reverse,1 for 23
15-Jan-25,SVUHF,Srivaru Holding Ltd.,Reverse,1 for 50
15-Jan-25,SMX,Smx (security Matters) Public Ltd Co.,Reverse,1 for 28.5
14-Jan-25,EVAX,Evaxion Biotech A,Reverse,1 for 5
13-Jan-25,THCH,Th International Ltd.,Reverse,1 for 5
13-Jan-25,OBT,Orange County Bancorp Inc,Forward,2 for 1
10-Jan-25,XTIA,Xti Aerospace Inc,Reverse,1 for 250
08-Jan-25,JXG,Jx Luxventure Group Inc,Reverse,1 for 4
08-Jan-25,CERO,Cero Therapeutics Holdings Inc,Reverse,1 for 100
07-Jan-25,TCBP,Tc Biopharm (holdings) PLC,Forward,1.25 for 1
06-Jan-25,RGFC,Real Good Food Company Inc,Reverse,1 for 12
06-Jan-25,ODC,Oil-dri Corp Of America,Forward,2 for 1
06-Jan-25,IDAI,T Stamp Inc,Reverse,1 for 15
03-Jan-25,MTH,Meritage Homes Corp,Forward,2 for 1
03-Jan-25,ALUR,Allurion Technologies Inc,Reverse,1 for 25
02-Jan-25,ELBM,Electra Battery Materials Corp,Reverse,1 for 4
02-Jan-25,CVLG,Covenant Logistics Group Inc,Forward,2 for 1
02-Jan-25,CISS,C3is Inc,Reverse,1 for 2.5
02-Jan-25,ATCH,Atlasclear Holdings Inc,Reverse,1 for 59.99
31-Dec-24,OST,Ostin Technology Group Co Ltd.,Reverse,1 for 10
31-Dec-24,OPTN,Optinose Inc,Reverse,1 for 15
31-Dec-24,COEP,Coeptis Therapeutics Holdings Inc,Reverse,1 for 20
31-Dec-24,CARA,Cara Therapeutics Inc,Reverse,1 for 12
30-Dec-24,JNVR,Janover Inc,Reverse,1 for 8
27-Dec-24,SYTA,Siyata Mobile Inc,Reverse,1 for 10
26-Dec-24,CRVL,Corvel Corp,Forward,3 for 1
24-Dec-24,NEUP,Neuphoria Therapeutics Inc,Reverse,1 for 12
24-Dec-24,GOEVQ,Canoo Inc,Reverse,1 for 20
24-Dec-24,CLEU,China Liberal Education Holdings Ltd.,Reverse,1 for 15
23-Dec-24,ICCT,Icoreconnect Inc,Reverse,1 for 20
20-Dec-24,TSCO,Tractor Supply Co.,Forward,5 for 1
18-Dec-24,MTC,Mmtec Inc,Reverse,1 for 8
17-Dec-24,XXII,22nd Century Group Inc,Reverse,1 for 134.95
16-Dec-24,PATK,Patrick Industries Inc,Forward,1.5 for 1
16-Dec-24,PANW,Palo Alto Networks Inc,Forward,2 for 1
13-Dec-24,MNTS,Momentus Inc,Reverse,1 for 14
13-Dec-24,MLGO,Microalgo Inc,Reverse,1 for 20
13-Dec-24,ETR,Entergy Corp,Forward,2 for 1
13-Dec-24,DBGI,Digital Brands Group Inc,Reverse,1 for 50
13-Dec-24,BLUE,Bluebird Bio Inc,Reverse,1 for 20
11-Dec-24,WIT,Wipro Ltd.,Forward,2 for 1
10-Dec-24,JL,J-long Group Ltd.,Reverse,1 for 10
09-Dec-24,HUIZ,Huize Holding Ltd.,Reverse,1 for 5
06-Dec-24,ENSC,Ensysce Biosciences Inc,Reverse,1 for 15
05-Dec-24,AGRI,Agriforce Growing Systems Ltd.,Reverse,1 for 100
04-Dec-24,RNAZ,Transcode Therapeutics Inc,Reverse,1 for 33
04-Dec-24,APVO,Aptevo Therapeutics Inc,Reverse,1 for 37
04-Dec-24,ANET,Arista Networks Inc,Forward,4 for 1
03-Dec-24,MYNZ,Mainz Biomed Nv,Reverse,1 for 40
03-Dec-24,CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
02-Dec-24,LARK,Landmark Bancorp Inc,Forward,1.05 for 1
02-Dec-24,FTCI,Ftc Solar Inc,Reverse,1 for 10
29-Nov-24,SLXN,Silexion Therapeutics Corp,Reverse,1 for 9
29-Nov-24,DBVT,Dbv Technologies SA,Reverse,1 for 5
27-Nov-24,UBXG,U-bx Technology Ltd.,Reverse,1 for 16
27-Nov-24,ELAB,Elevai Labs Inc,Reverse,1 for 200
27-Nov-24,BRIA,Brillia Inc,Forward,"1,000 for 1"
26-Nov-24,PBM,Psyence Biomedical Ltd.,Reverse,1 for 75.02
26-Nov-24,GMM,Global Mofy Ai Ltd.,Reverse,1 for 15
26-Nov-24,CTXR,Citius Pharmaceuticals Inc,Reverse,1 for 25
26-Nov-24,CETX,Cemtrex Inc,Reverse,1 for 35
25-Nov-24,GPUS,Hyperscale Data Inc,Reverse,1 for 35
25-Nov-24,APLM,Apollomics Inc,Reverse,1 for 100
22-Nov-24,XTKG,X3 Holdings Co Ltd.,Reverse,1 for 20
22-Nov-24,DFLI,Dragonfly Energy Holdings Corp,Reverse,1 for 9
21-Nov-24,PRFX,Painreform Ltd.,Reverse,1 for 4
21-Nov-24,NMHI,Nature's Miracle Holding Inc,Reverse,1 for 30
21-Nov-24,LAZR,Luminar Technologies Inc,Reverse,1 for 15
20-Nov-24,LUXH,Luxurban Hotels Inc,Reverse,1 for 69.98
20-Nov-24,JFBR,Jeffs' Brands Ltd.,Reverse,1 for 13
19-Nov-24,SOS,Sos Ltd.,Reverse,1 for 15
19-Nov-24,POLA,Polar Power Inc,Reverse,1 for 7
19-Nov-24,LGMK,Logicmark Inc,Reverse,1 for 25
18-Nov-24,UPC,Universe Pharmaceuticals Inc,Reverse,1 for 15
18-Nov-24,SGN,Signing Day Sports Inc,Reverse,1 for 48.01
18-Nov-24,MSPR,Msp Recovery Inc,Reverse,1 for 25
18-Nov-24,BJDX,Bluejay Diagnostics Inc,Reverse,1 for 50
15-Nov-24,TPET,Trio Petroleum Corp,Reverse,1 for 20
15-Nov-24,TKLF,Tokyo Lifestyle Co Ltd.,Reverse,1 for 10
15-Nov-24,ADD,Color Star Technology Co Ltd.,Reverse,1 for 100
14-Nov-24,INM,Inmed Pharmaceuticals Inc,Reverse,1 for 20
14-Nov-24,AKAN,Akanda Corp,Reverse,1 for 2
13-Nov-24,DNMR,Danimer Scientific Inc,Reverse,1 for 40
12-Nov-24,SISI,Shineco Inc,Reverse,1 for 24
12-Nov-24,JTAI,Jetai Inc,Reverse,1 for 225.23
11-Nov-24,VLCN,Volcon Inc,Reverse,1 for 8
11-Nov-24,TRNR,Interactive Strength Inc,Reverse,1 for 100
11-Nov-24,FCEL,Fuelcell Energy Inc,Reverse,1 for 30
11-Nov-24,EFSH,1847 Holdings LLC,Reverse,1 for 15
08-Nov-24,XHG,Xchange Tecinc,Reverse,1 for 20
08-Nov-24,LIPO,Lipella Pharmaceuticals Inc,Reverse,1 for 8
07-Nov-24,NDRA,Endra Life Sciences Inc,Reverse,1 for 35
06-Nov-24,SCCO,Southern Copper Corp,Forward,1.01 for 1
05-Nov-24,VCIG,Vci Global Ltd.,Reverse,1 for 49
05-Nov-24,RDY,Dr Reddys Laboratories Ltd.,Forward,5 for 1
05-Nov-24,QLGN,Qualigen Therapeutics Inc,Reverse,1 for 50
05-Nov-24,AQMS,Aqua Metals Inc,Reverse,1 for 20
04-Nov-24,NA,Nano Labs Ltd.,Reverse,1 for 10
04-Nov-24,MAGN,Magnera Corp,Reverse,1 for 13
01-Nov-24,FGF,Fundamental Global Inc,Reverse,1 for 25
31-Oct-24,STBX,Starbox Group Holdings Ltd.,Reverse,1 for 16
30-Oct-24,KZR,Kezar Life Sciences Inc,Reverse,1 for 10
29-Oct-24,MOVE,Movano Inc,Reverse,1 for 15
28-Oct-24,SVRE,Saverone 2014 Ltd.,Reverse,1 for 18
28-Oct-24,KZIA,Kazia Therapeutics Ltd.,Reverse,1 for 10
28-Oct-24,ALBT,Avalon Globocare Corp,Reverse,1 for 15
25-Oct-24,KXIN,Kaixin Holdings,Reverse,1 for 61.54
25-Oct-24,AMIX,Autonomix Medical Inc,Reverse,1 for 20
24-Oct-24,NUKK,Nukkleus Inc,Reverse,1 for 8
24-Oct-24,CTNT,Cheetah Net Supply Chain Service Inc,Reverse,1 for 16
23-Oct-24,KWE,Kwesst Micro Systems Inc,Reverse,1 for 10
22-Oct-24,ZCAR,Zoomcar Holdings Inc,Reverse,1 for 100
18-Oct-24,SDOT,Sadot Group Inc,Reverse,1 for 10
18-Oct-24,SANW,S&w Seed Co.,Reverse,1 for 19
18-Oct-24,HURA,Tuhura Biosciences Inc,Reverse,1 for 35
18-Oct-24,BIOR,Biora Therapeutics Inc,Reverse,1 for 10
17-Oct-24,SUNE,Sunation Energy Inc,Reverse,1 for 50
16-Oct-24,STSS,Sharps Technology Inc,Reverse,1 for 22
16-Oct-24,MGRX,Mangoceuticals Inc,Reverse,1 for 15
16-Oct-24,ME,23andme Holding Co.,Reverse,1 for 20
16-Oct-24,ILLR,Triller Group Inc,Reverse,1 for 4
16-Oct-24,DLPN,Dolphin Entertainment Inc,Reverse,1 for 2
15-Oct-24,UAVS,Ageagle Aerial Systems Inc,Reverse,1 for 50
14-Oct-24,PIXY,Shiftpixy Inc,Reverse,1 for 15
11-Oct-24,NVEE,Nv5 Global Inc,Forward,4 for 1
11-Oct-24,ALCE,Alternus Clean Energy Inc,Reverse,1 for 25
10-Oct-24,WLDS,Wearable Devices Ltd.,Reverse,1 for 20
10-Oct-24,INHD,Inno Holdings Inc,Reverse,1 for 10
09-Oct-24,XPON,Expion360 Inc,Reverse,1 for 100
09-Oct-24,VERB,Verb Technology Company Inc,Reverse,1 for 200
09-Oct-24,SQNS,Sequans Communications,Reverse,1 for 2.5
09-Oct-24,SONY,Sony Group Corp,Forward,5 for 1
09-Oct-24,MAXN,Maxeon Solar Technologies Ltd.,Reverse,1 for 100
09-Oct-24,HOLO,Microcloud Hologram Inc,Reverse,1 for 20
09-Oct-24,DWTX,Dogwood Therapeutics Inc,Reverse,1 for 25
08-Oct-24,VMAR,Vision Marine Technologies Inc,Reverse,1 for 9
08-Oct-24,SGD,Safe & Green Development Corp,Reverse,1 for 20
08-Oct-24,AZ,A2z Cust2mate Solutions Corp,Reverse,1 for 2.5
08-Oct-24,AGFY,Agrify Corp,Reverse,1 for 15
07-Oct-24,OKUR,Onkure Therapeutics Inc,Reverse,1 for 10
04-Oct-24,STRM,Streamline Health Solutions Inc,Reverse,1 for 15
04-Oct-24,SIFY,Sify Technologies Ltd.,Reverse,1 for 6
04-Oct-24,BDRX,Biodexa Pharmaceuticals PLC,Reverse,1 for 25
03-Oct-24,UPXI,Upexi Inc,Reverse,1 for 20
03-Oct-24,LRCX,Lam Research Corp,Forward,10 for 1
03-Oct-24,KRKR,36kr Holdings Inc,Reverse,1 for 20
03-Oct-24,CETX,Cemtrex Inc,Reverse,1 for 59.99
02-Oct-24,SOBR,Sobr Safe Inc,Reverse,1 for 110.01
02-Oct-24,ILLR,Triller Group Inc,Forward,1.94 for 1
02-Oct-24,AREB,American Rebel Holdings Inc,Reverse,1 for 9
02-Oct-24,ADTX,Aditxt Inc,Reverse,1 for 40
01-Oct-24,SMCI,Super Micro Computer Inc,Forward,10 for 1
01-Oct-24,LSB,Lakeshore Biopharma Co Ltd.,Reverse,1 for 10
01-Oct-24,BCLI,Brainstorm Cell Therapeutics Inc,Reverse,1 for 15
30-Sep-24,SONN,Sonnet Biotherapeutics Holdings Inc,Reverse,1 for 8
30-Sep-24,RYAAY,Ryanair Holdings PLC,Forward,2.5 for 1
30-Sep-24,LXEH,Lixiang Education Holding Co Ltd.,Reverse,1 for 10
30-Sep-24,CNET,Zw Data Action Technologies Inc,Reverse,1 for 4
27-Sep-24,SEELQ,Seelos Therapeutics Inc,Reverse,1 for 16
27-Sep-24,NLSP,Nls Pharmaceutics Ltd.,Reverse,1 for 40
25-Sep-24,ORGS,Orgenesis Inc,Reverse,1 for 10
25-Sep-24,FRGT,Freight Technologies Inc,Reverse,1 for 25
25-Sep-24,ARQQ,Arqit Quantum Inc,Reverse,1 for 25
24-Sep-24,ONCO,Onconetix Inc,Reverse,1 for 40
24-Sep-24,EJH,E-home Household Service Holdings Ltd.,Reverse,1 for 10
24-Sep-24,BBGI,Beasley Broadcast Group Inc,Reverse,1 for 20
23-Sep-24,TRAW,Traws Pharma Inc,Reverse,1 for 25
23-Sep-24,RSLS,Reshape Lifesciences Inc,Reverse,1 for 58
23-Sep-24,OTRK,Ontrak Inc,Reverse,1 for 15
23-Sep-24,MPLN,Multiplan Corp,Reverse,1 for 40
23-Sep-24,EVTL,Vertical Aerospace Ltd.,Reverse,1 for 10
19-Sep-24,MKFG,Markforged Holding Corp,Reverse,1 for 10
19-Sep-24,GDHG,Golden Heaven Group Holdings Ltd.,Reverse,1 for 50
19-Sep-24,CYBN,Cybin Inc,Reverse,1 for 37.99
19-Sep-24,BNZI,Banzai International Inc,Reverse,1 for 50
17-Sep-24,PPBT,Purple Biotech Ltd.,Reverse,1 for 20
17-Sep-24,NVVE,Nuvve Holding Corp,Reverse,1 for 10
17-Sep-24,MULN,Mullen Automotive Inc,Reverse,1 for 100
17-Sep-24,LKCO,Luokung Technology Corp,Reverse,1 for 8
17-Sep-24,IVDA,Iveda Solutions Inc,Reverse,1 for 8
17-Sep-24,DECK,Deckers Outdoor Corp,Forward,6 for 1
16-Sep-24,ZEPP,Zepp Health Corp,Reverse,1 for 4
16-Sep-24,KSCP,Knightscope Inc,Reverse,1 for 50
16-Sep-24,ISPC,Ispecimen Inc,Reverse,1 for 20
13-Sep-24,YJ,Yunji Inc,Reverse,1 for 4
12-Sep-24,CTAS,Cintas Corp,Forward,4 for 1
11-Sep-24,WTO,Utime Ltd.,Reverse,1 for 25
11-Sep-24,HYZN,Hyzon Motors Inc,Reverse,1 for 50
11-Sep-24,ALLR,Allarity Therapeutics Inc,Reverse,1 for 30
10-Sep-24,SIRI,Sirius Xm Holdings Inc,Reverse,1 for 10
09-Sep-24,TTEK,Tetra Tech Inc,Forward,5 for 1
09-Sep-24,PRFX,Painreform Ltd.,Reverse,1 for 6
09-Sep-24,BKSY,Blacksky Technology Inc,Reverse,1 for 8
06-Sep-24,TNON,Tenon Medical Inc,Reverse,1 for 8
05-Sep-24,LITB,Lightinthebox Holding Co Ltd.,Reverse,1 for 6
05-Sep-24,DPRO,Draganfly Inc,Reverse,1 for 25
05-Sep-24,BIRD,Allbirds Inc,Reverse,1 for 20
04-Sep-24,TCSGQ,Container Store Group Inc,Reverse,1 for 15
03-Sep-24,ORKA,Oruka Therapeutics Inc,Reverse,1 for 12
03-Sep-24,MTNB,Matinas Biopharma Holdings Inc,Reverse,1 for 50
30-Aug-24,SNOA,Sonoma Pharmaceuticals Inc,Reverse,1 for 20
30-Aug-24,GLTO,Galecto Inc,Reverse,1 for 25
30-Aug-24,GLMD,Galmed Pharmaceuticals Ltd.,Reverse,1 for 12
30-Aug-24,ATPC,Agape Atp Corp,Reverse,1 for 20
29-Aug-24,GDEV,Gdev Inc,Reverse,1 for 10
28-Aug-24,XCUR,Exicure Inc,Reverse,1 for 5
28-Aug-24,FBRX,Forte Biosciences Inc,Reverse,1 for 25
27-Aug-24,QMCO,Quantum Corp,Reverse,1 for 20
26-Aug-24,TOVX,Theriva Biologics Inc,Reverse,1 for 25
26-Aug-24,PHGE,Biomx Inc,Reverse,1 for 10
26-Aug-24,OBLG,Oblong Inc,Reverse,1 for 40
26-Aug-24,GWH,Ess Tech Inc,Reverse,1 for 15
26-Aug-24,FMTO,Femto Technologies Inc,Reverse,1 for 17
23-Aug-24,AIXI,Xiao-i Corp,Reverse,1 for 9
22-Aug-24,VMAR,Vision Marine Technologies Inc,Reverse,1 for 15
22-Aug-24,SPCB,Supercom Ltd.,Reverse,1 for 20
20-Aug-24,RDHL,Redhill Biopharma Ltd.,Reverse,1 for 25
20-Aug-24,NDRA,Endra Life Sciences Inc,Reverse,1 for 50
20-Aug-24,DNA,Ginkgo Bioworks Holdings Inc,Reverse,1 for 40
