Date,Symbol,Company Name,Type,Split Ratio
20-Aug-24,CVKD,Cadrenal Therapeutics Inc,Reverse,1 for 15
19-Aug-24,SRFM,Surf Air Mobility Inc,Reverse,1 for 7
19-Aug-24,SITC,Site Centers Corp,Reverse,1 for 4
19-Aug-24,FFIE,Faraday Future Intelligent Electric Inc,Reverse,1 for 40
19-Aug-24,BETR,Better Home & Finance Holding Co.,Reverse,1 for 50
19-Aug-24,ALGS,Aligos Therapeutics Inc,Reverse,1 for 25
16-Aug-24,OCTO,Eightco Holdings Inc,Reverse,1 for 5
16-Aug-24,GNS,Genius Group Ltd.,Reverse,1 for 10
15-Aug-24,SING,Singlepoint Inc,Reverse,1 for 100
15-Aug-24,QNTM,Quantum Biopharma Ltd.,Reverse,1 for 65.02
15-Aug-24,PRTG,Portage Biotech Inc,Reverse,1 for 20
15-Aug-24,ASTI,Ascent Solar Technologies Inc,Reverse,1 for 100
13-Aug-24,TRVN,Trevena Inc,Reverse,1 for 25
13-Aug-24,SHPH,Shuttle Pharmaceuticals Holdings Inc,Reverse,1 for 8
13-Aug-24,MNPR,Monopar Therapeutics,Reverse,1 for 5
13-Aug-24,AIFF,Firefly Neuroscience Inc,Reverse,1 for 3
12-Aug-24,SXTP,60 Degrees Pharmaceuticals Inc,Reverse,1 for 12
09-Aug-24,VATE,Innovate Corp,Reverse,1 for 10
09-Aug-24,SCCO,Southern Copper Corp,Forward,1.01 for 1
09-Aug-24,CING,Cingulate Inc,Reverse,1 for 12
08-Aug-24,SBFM,Sunshine Biopharma Inc,Reverse,1 for 20
08-Aug-24,MSTR,Microstrategy Inc,Forward,10 for 1
06-Aug-24,BIVI,Biovie Inc,Reverse,1 for 10
05-Aug-24,XYLO,Xylo Technologies Ltd.,Reverse,1 for 2.67
05-Aug-24,TCBP,Tc Biopharm (holdings) PLC,Reverse,1 for 10
05-Aug-24,GNLN,Greenlane Holdings Inc,Reverse,1 for 11
02-Aug-24,SYTA,Siyata Mobile Inc,Reverse,1 for 18
02-Aug-24,NCPL,Netcapital Inc,Reverse,1 for 69.98
01-Aug-24,EVOK,Evoke Pharma Inc,Reverse,1 for 12
30-Jul-24,SPGC,Sacks Parente Golf Inc,Reverse,1 for 10
30-Jul-24,CCM,Concord Medical Services Holdings Ltd.,Reverse,1 for 10
29-Jul-24,AIU,Meta Data Ltd.,Reverse,1 for 5
26-Jul-24,FOA,Finance Of America Companies Inc,Reverse,1 for 10
25-Jul-24,SNES,Senestech Inc,Reverse,1 for 10
25-Jul-24,NXXT,Nextnrg Inc,Reverse,1 for 2.5
25-Jul-24,EVGN,Evogene Ltd.,Reverse,1 for 10
24-Jul-24,BURU,Nuburu Inc,Reverse,1 for 40
23-Jul-24,KITT,Nauticus Robotics Inc,Reverse,1 for 36
19-Jul-24,BHIL,Benson Hill Inc,Reverse,1 for 35
18-Jul-24,TCRT,Alaunos Therapeutics Inc,Reverse,1 for 10
18-Jul-24,SONM,Sonim Technologies Inc,Reverse,1 for 10
18-Jul-24,SNTI,Senti Biosciences Inc,Reverse,1 for 10
18-Jul-24,SCPX,Scorpius Holdings Inc,Reverse,1 for 200
18-Jul-24,MGOL,Mgo Global Inc,Reverse,1 for 10
18-Jul-24,LUCY,Innovative Eyewear Inc,Reverse,1 for 20
16-Jul-24,ALZN,Alzamend Neuro Inc,Reverse,1 for 10
15-Jul-24,VTAK,Catheter Precision Inc,Reverse,1 for 10
15-Jul-24,USLM,United States Lime & Minerals Inc,Forward,5 for 1
15-Jul-24,SMX,Smx (security Matters) Public Ltd Co.,Reverse,1 for 75.02
15-Jul-24,CLDI,Calidi Biotherapeutics Inc,Reverse,1 for 10
15-Jul-24,AVGO,Broadcom Inc,Forward,10 for 1
12-Jul-24,IMCC,Im Cannabis Corp,Reverse,1 for 6
12-Jul-24,FLG,Flagstar Financial Inc,Reverse,1 for 3
11-Jul-24,WRB,Berkley W R Corp,Forward,1.5 for 1
11-Jul-24,CLNN,Clene Inc,Reverse,1 for 20
11-Jul-24,AMWL,American Well Corp,Reverse,1 for 20
10-Jul-24,HOOK,Hookipa Pharma Inc,Reverse,1 for 10
10-Jul-24,FREHY,Fresh2 Group Ltd.,Reverse,1 for 10
09-Jul-24,WSM,Williams Sonoma Inc,Forward,2 for 1
09-Jul-24,IONM,Assure Holdings Corp,Reverse,1 for 18
08-Jul-24,EFSH,1847 Holdings LLC,Reverse,1 for 13
08-Jul-24,CJET,Chijet Motor Company Inc,Reverse,1 for 30
05-Jul-24,SNFCA,Security National Financial Corp,Forward,1.05 for 1
05-Jul-24,PHIO,Phio Pharmaceuticals Corp,Reverse,1 for 9
05-Jul-24,CYN,Cyngn Inc,Reverse,1 for 100
03-Jul-24,NUTX,Nutex Health Inc,Reverse,1 for 10
03-Jul-24,MDRR,Medalist Diversified Reit Inc,Reverse,1 for 2
03-Jul-24,JZXN,Jiuzi Holdings Inc,Reverse,1 for 13
03-Jul-24,ASLN,Aslan Pharmaceuticals Ltd.,Reverse,1 for 8
02-Jul-24,ASST,Asset Entities Inc,Reverse,1 for 5
01-Jul-24,YGMZ,Mingzhu Logistics Holdings Ltd.,Reverse,1 for 8
01-Jul-24,RELI,Reliance Global Group Inc,Reverse,1 for 17
01-Jul-24,KORE,Kore Group Holdings Inc,Reverse,1 for 5
01-Jul-24,DARE,Dare Bioscience Inc,Reverse,1 for 12
01-Jul-24,AZTR,Azitra Inc,Reverse,1 for 30
28-Jun-24,NUWE,Nuwellis Inc,Reverse,1 for 35
27-Jun-24,YYAI,Connexa Sports Technologies Inc,Reverse,1 for 20
27-Jun-24,RIGL,Rigel Pharmaceuticals Inc,Reverse,1 for 10
26-Jun-24,STAF,Staffing 360 Solutions Inc,Reverse,1 for 10
26-Jun-24,OMIC,Singular Genomics Systems Inc,Reverse,1 for 30
26-Jun-24,CMG,Chipotle Mexican Grill Inc,Forward,50 for 1
25-Jun-24,NKLA,Nikola Corp,Reverse,1 for 30
25-Jun-24,CRKN,Crown Electrokinetics Corp,Reverse,1 for 149.93
24-Jun-24,BBSI,Barrett Business Services Inc,Forward,4 for 1
21-Jun-24,TECX,Tectonic Therapeutic Inc,Reverse,1 for 12
21-Jun-24,BGM,Bgm Group Ltd.,Reverse,1 for 5
20-Jun-24,BJDX,Bluejay Diagnostics Inc,Reverse,1 for 8
20-Jun-24,ATRA,Atara Biotherapeutics Inc,Reverse,1 for 25
18-Jun-24,VSME,Vs Media Holdings Ltd.,Reverse,1 for 7
18-Jun-24,GRI,Gri Bio Inc,Reverse,1 for 13
18-Jun-24,FORD,Forward Industries Inc,Reverse,1 for 10
17-Jun-24,WKHS,Workhorse Group Inc,Reverse,1 for 20
17-Jun-24,STRR,Star Equity Holdings Inc,Reverse,1 for 5
17-Jun-24,SPCE,Virgin Galactic Holdings Inc,Reverse,1 for 20
17-Jun-24,SLRX,Salarius Pharmaceuticals Inc,Reverse,1 for 8
17-Jun-24,CATX,Perspective Therapeutics Inc,Reverse,1 for 10
14-Jun-24,TWOUQ,2u Inc,Reverse,1 for 30
14-Jun-24,TRNR,Interactive Strength Inc,Reverse,1 for 40
14-Jun-24,JUNS,Jupiter Neurosciences Inc,Forward,3.75 for 1
14-Jun-24,CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
13-Jun-24,VLD,Velo3d Inc,Reverse,1 for 35
13-Jun-24,RBOT,Vicarious Surgical Inc,Reverse,1 for 30
13-Jun-24,NAAS,Naas Technology Inc,Reverse,1 for 20
12-Jun-24,SUNE,Sunation Energy Inc,Reverse,1 for 15
12-Jun-24,BNED,Barnes & Noble Education Inc,Reverse,1 for 100
12-Jun-24,APH,Amphenol Corp,Forward,2 for 1
11-Jun-24,KPRX,Kiora Pharmaceuticals Inc,Reverse,1 for 9
11-Jun-24,DM,Desktop Metal Inc,Reverse,1 for 10
11-Jun-24,CNQ,Canadian Natural Resources Ltd.,Forward,2 for 1
10-Jun-24,TNXP,Tonix Pharmaceuticals Holding Corp,Reverse,1 for 32
10-Jun-24,RTC,Baijiayun Group Ltd.,Reverse,1 for 5
10-Jun-24,NVDA,Nvidia Corp,Forward,10 for 1
10-Jun-24,ICU,Seastar Medical Holding Corp,Reverse,1 for 25
07-Jun-24,VLCN,Volcon Inc,Reverse,1 for 100
07-Jun-24,SSKN,Strata Skin Sciences Inc,Reverse,1 for 10
07-Jun-24,DBVT,Dbv Technologies SA,Reverse,1 for 2
07-Jun-24,CEAD,Cea Industries Inc,Reverse,1 for 12
06-Jun-24,SNGX,Soligenix Inc,Reverse,1 for 16
06-Jun-24,QXO,Qxo Inc,Reverse,1 for 8
05-Jun-24,CNSP,Cns Pharmaceuticals Inc,Reverse,1 for 50
04-Jun-24,LICY,Li-cycle Holdings Corp,Reverse,1 for 8
03-Jun-24,PLAG,Planet Green Holdings Corp,Reverse,1 for 10
03-Jun-24,GWAV,Greenwave Technology Solutions Inc,Reverse,1 for 149.93
03-Jun-24,BHST,Bioharvest Sciences Inc,Reverse,1 for 35
31-May-24,NBY,Novabay Pharmaceuticals Inc,Reverse,1 for 35
30-May-24,BCDA,Biocardia Inc,Reverse,1 for 15
29-May-24,GV,Visionary Holdings Inc,Reverse,1 for 15
28-May-24,THAR,Tharimmune Inc,Reverse,1 for 15
28-May-24,SINT,Sintx Technologies Inc,Reverse,1 for 200
24-May-24,CIG.C,Energy Co Of Minas Gerais,Forward,1.3 for 1
24-May-24,CIG,Energy Co Of Minas Gerais,Forward,1.3 for 1
23-May-24,JAGX,Jaguar Health Inc,Reverse,1 for 59.99
23-May-24,AKAN,Akanda Corp,Reverse,1 for 40
22-May-24,CIM,Chimera Investment Corp,Reverse,1 for 3
21-May-24,SCNI,Scinai Immunotherapeutics Ltd.,Reverse,1 for 10
20-May-24,OPGN,Opgen Inc,Reverse,1 for 10
20-May-24,GCTK,Glucotrack Inc,Reverse,1 for 5
20-May-24,BSFC,Blue Star Foods Corp,Reverse,1 for 50
17-May-24,HSCS,Heartsciences Inc,Reverse,1 for 100
17-May-24,CTHR,Charles & Colvard Ltd.,Reverse,1 for 10
16-May-24,SEELQ,Seelos Therapeutics Inc,Reverse,1 for 8
16-May-24,ELWS,Earlyworks Co Ltd.,Reverse,1 for 5
16-May-24,DRMA,Dermata Therapeutics Inc,Reverse,1 for 15
15-May-24,BNR,Burning Rock Biotech Ltd.,Reverse,1 for 10
14-May-24,TIRX,Tian Ruixiang Holdings Ltd.,Reverse,1 for 5
14-May-24,ADN,Advent Technologies Holdings Inc,Reverse,1 for 30
10-May-24,ZH,Zhihu Inc,Reverse,1 for 6
09-May-24,TBIO,Telesis Bio Inc,Reverse,1 for 18
08-May-24,IVP,Inspire Veterinary Partners Inc,Reverse,1 for 100
07-May-24,SCCO,Southern Copper Corp,Forward,1.01 for 1
06-May-24,OLB,Olb Group Inc,Reverse,1 for 10
06-May-24,BZFD,Buzzfeed Inc,Reverse,1 for 4
03-May-24,YTENQ,Yield10 Bioscience Inc,Reverse,1 for 24
03-May-24,CSCI,Cosciens Biopharma Inc,Reverse,1 for 4
02-May-24,SGBX,Safe & Green Holdings Corp,Reverse,1 for 20
01-May-24,VINOQ,Gaucho Group Holdings Inc,Reverse,1 for 10
01-May-24,SOPA,Society Pass Incorporated,Reverse,1 for 15
01-May-24,RCON,Recon Technology Ltd.,Reverse,1 for 18
29-Apr-24,BKKT,Bakkt Holdings Inc,Reverse,1 for 25
26-Apr-24,ZVSA,Zyversa Therapeutics Inc,Reverse,1 for 10
26-Apr-24,ATXI,Avenue Therapeutics Inc,Reverse,1 for 75.02
25-Apr-24,XTKG,X3 Holdings Co Ltd.,Forward,1.06 for 1
25-Apr-24,APDN,Applied Dna Sciences Inc,Reverse,1 for 20
24-Apr-24,CDTX,Cidara Therapeutics Inc,Reverse,1 for 20
23-Apr-24,ZAPP,Zapp Electric Vehicles Group Ltd.,Reverse,1 for 20
23-Apr-24,PVLA,Palvella Therapeutics Inc,Reverse,1 for 80
23-Apr-24,MYSZ,My Size Inc,Reverse,1 for 8
23-Apr-24,BPTSY,Biophytis SA,Reverse,1 for 40
22-Apr-24,WINT,Windtree Therapeutics Inc,Reverse,1 for 18
22-Apr-24,SMFL,Smart For Life Inc,Reverse,1 for 7
19-Apr-24,GSUN,Golden Sun Health Technology Group Ltd.,Reverse,1 for 10
18-Apr-24,GGB,Gerdau SA,Forward,1.2 for 1
18-Apr-24,BENF,Beneficient,Reverse,1 for 80
17-Apr-24,SBFM,Sunshine Biopharma Inc,Reverse,1 for 100
16-Apr-24,NCNA,Nucana PLC,Reverse,1 for 25
15-Apr-24,MRIN,Marin Software Inc,Reverse,1 for 6
15-Apr-24,GRRR,Gorilla Technology Group Inc,Reverse,1 for 10
15-Apr-24,FRPH,Frp Holdings Inc,Forward,2 for 1
15-Apr-24,DVLT,Datavault Ai Inc,Reverse,1 for 149.93
12-Apr-24,MI,Nft Ltd.,Reverse,1 for 50
12-Apr-24,FLNT,Fluent Inc,Reverse,1 for 6
12-Apr-24,EZGO,Ezgo Technologies Ltd.,Reverse,1 for 40
12-Apr-24,CISS,C3is Inc,Reverse,1 for 100
12-Apr-24,AGEN,Agenus Inc,Reverse,1 for 20
11-Apr-24,SMSI,Smith Micro Software Inc,Reverse,1 for 8
11-Apr-24,BON,Bon Natural Life Ltd.,Reverse,1 for 10
10-Apr-24,TCON,Tracon Pharmaceuticals Inc,Reverse,1 for 20
10-Apr-24,NUTX,Nutex Health Inc,Reverse,1 for 15
09-Apr-24,ALLR,Allarity Therapeutics Inc,Reverse,1 for 20
08-Apr-24,PALI,Palisade Bio Inc,Reverse,1 for 15
05-Apr-24,SNPX,Synaptogenix Inc,Reverse,1 for 25
05-Apr-24,RNAC,Cartesian Therapeutics Inc,Reverse,1 for 30
05-Apr-24,GLAD,Gladstone Capital Corp,Reverse,1 for 2
05-Apr-24,EDBL,Edible Garden Ag Inc,Reverse,1 for 20
04-Apr-24,STKH,Steakholder Foods Ltd.,Reverse,1 for 10
03-Apr-24,UCAR,U Power Ltd.,Reverse,1 for 100
03-Apr-24,RENT,Rent The Runway Inc,Reverse,1 for 20
02-Apr-24,XXII,22nd Century Group Inc,Reverse,1 for 16
02-Apr-24,NRXP,Nrx Pharmaceuticals Inc,Reverse,1 for 10
02-Apr-24,EMKR,Emcore Corp,Reverse,1 for 10
02-Apr-24,DCFCQ,Tritium Dcfc Ltd.,Reverse,1 for 200
02-Apr-24,AWIN,Aerwins Technologies Inc,Reverse,1 for 100
01-Apr-24,PLUR,Pluri Inc,Reverse,1 for 8
28-Mar-24,ODFL,Old Dominion Freight Line Inc,Forward,2 for 1
28-Mar-24,DOYU,Douyu International Holdings Ltd.,Reverse,1 for 10
27-Mar-24,TPL,Texas Pacific Land Corp,Forward,3 for 1
27-Mar-24,LGVN,Longeveron Inc,Reverse,1 for 10
27-Mar-24,GHI,Greystone Housing Impact Investors Lp,Forward,1 for 1
27-Mar-24,CTRM,Castor Maritime Inc,Reverse,1 for 10
26-Mar-24,QTTB,Q32 Bio Inc,Reverse,1 for 18
26-Mar-24,ETAOF,Etao International Co Ltd.,Reverse,1 for 20
25-Mar-24,LINK,Interlink Electronics Inc,Forward,1.5 for 1
25-Mar-24,INTZ,Intrusion Inc,Reverse,1 for 20
22-Mar-24,MLGO,Microalgo Inc,Reverse,1 for 10
22-Mar-24,MBRX,Moleculin Biotech Inc,Reverse,1 for 15
22-Mar-24,LENZ,Lenz Therapeutics Inc,Reverse,1 for 7
22-Mar-24,FMTO,Femto Technologies Inc,Reverse,1 for 190.11
22-Mar-24,ATER,Aterian Inc,Reverse,1 for 12
21-Mar-24,CSPI,Csp Inc,Forward,2 for 1
21-Mar-24,BTTR,Better Choice Co Inc,Reverse,1 for 43.99
21-Mar-24,ADVM,Adverum Biotechnologies Inc,Reverse,1 for 10
19-Mar-24,AEVA,Aeva Technologies Inc,Reverse,1 for 5
18-Mar-24,YSG,Yatsen Holding Ltd.,Reverse,1 for 5
15-Mar-24,SER,Serina Therapeutics Inc,Reverse,1 for 35.17
15-Mar-24,LFWD,Lifeward Ltd.,Reverse,1 for 7
14-Mar-24,OTLK,Outlook Therapeutics Inc,Reverse,1 for 20
13-Mar-24,XTIA,Xti Aerospace Inc,Reverse,1 for 100
13-Mar-24,HPCO,Hempacco Co Inc,Reverse,1 for 10
11-Mar-24,AFMD,Affimed Nv,Reverse,1 for 10
08-Mar-24,PGY,Pagaya Technologies Ltd.,Reverse,1 for 12
08-Mar-24,GXAI,Gaxosai Inc,Reverse,1 for 12
08-Mar-24,GOEVQ,Canoo Inc,Reverse,1 for 23
08-Mar-24,CISO,Ciso Global Inc,Reverse,1 for 15
07-Mar-24,PIKM,Kidpik Corp,Reverse,1 for 5
06-Mar-24,CPHI,China Pharma Holdings Inc,Reverse,1 for 5
06-Mar-24,APVO,Aptevo Therapeutics Inc,Reverse,1 for 43.99
05-Mar-24,TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
04-Mar-24,YHC,Lqr House Inc,Forward,1.5 for 1
04-Mar-24,IFBD,Infobird Co Ltd.,Reverse,1 for 8
01-Mar-24,VRPX,Virpax Pharmaceuticals Inc,Reverse,1 for 10
01-Mar-24,RETO,Reto Eco-solutions Inc,Reverse,1 for 10
01-Mar-24,FFIE,Faraday Future Intelligent Electric Inc,Reverse,1 for 3
01-Mar-24,EGIOQ,Edgio Inc,Reverse,1 for 40
01-Mar-24,CJJD,China Jo-jo Drugstores Inc,Reverse,1 for 20
29-Feb-24,ZCMD,Zhongchao Inc,Reverse,1 for 10
29-Feb-24,CELU,Celularity Inc,Reverse,1 for 10
28-Feb-24,ATNF,180 Life Sciences Corp,Reverse,1 for 19
27-Feb-24,TGL,Treasure Global Inc,Reverse,1 for 69.98
27-Feb-24,PHUN,Phunware Inc,Reverse,1 for 50
27-Feb-24,AUUD,Auddia Inc,Reverse,1 for 25
26-Feb-24,WMT,Walmart Inc,Forward,3 for 1
26-Feb-24,LSDIF,Lucy Scientific Discovery Inc,Reverse,1 for 10
23-Feb-24,TRIB,Trinity Biotech PLC,Reverse,1 for 5
23-Feb-24,LYT,Lytus Technologies Holdings Ptv Ltd.,Reverse,1 for 59.99
23-Feb-24,BPTH,Bio-path Holdings Inc,Reverse,1 for 20
